Product_Name,Rating,Unit,MRP,Actual_Price,Offer,SBC_Offer
Mr. Gold Refined Sunflower Oil (Pouch),0,1 l,130,106,18% OFF,19% OFF
Grofers Mother's Choice Regular Soya Chunks,3.9,200 g,45,43,,6% OFF
Grofers Mother's Choice Unpolished White Urad Gota/Gola,4.2,500 g,90,89,,
Safe Harvest Pesticide Free Mustard Seeds,4.1,100 g,29,29,,
Safe Harvest Pesticide Free Puffed Regular Rice,4.2,500 g,83,75,9% OFF,12% OFF
Grofers Mother's Choice Red Lobiya,0,500 g,59,59,,
Grofers Mother's Choice Ajwain Seeds,0,100 g,65,41,36% OFF,38% OFF
Grofers Mother's Choice Poppy Seeds/Khus Khus,4.1,100 g,190,190,,
Grofers Mother's Choice Green Dried Peas,0,500 g,99,99,,
Grofers Mother's Choice Puffed Rice,0,200 g,35,30,14% OFF,17% OFF
Catch Amchur Powder,4.3,100 g,70,62,11% OFF,14% OFF
Safe Harvest Pesticide Free Bajra Flour,4.7,500 g,45,45,,
Saffola Gold Pro Healthy Lifestyle Blended Cooking Oil (Pouch),4.2,1 l,159,149,6% OFF,7% OFF
Grofers Mother's Choice Unpolished Black Urad Dal (Chilka),4,500 g,85,85,,
24 Mantra Organic Kabuli Chana,0,500 gm,90,90,,
Safe Harvest Pesticide Free Kabuli Chana,0,500 g,80,75,6% OFF,10% OFF
Safe Harvest Pesticide Free Kabuli Chana,4,1 kg,150,142,5% OFF,8% OFF
Grofers Mother's Choice Plain Pistachios,4,100 g,400,221,44% OFF,45% OFF
Grofers Mother's Choice Black Cardamom Whole/Elaichi,0,50 g,140,61,56% OFF,57% OFF
Grofers Happy Day Sunflower Seeds (Pouch),3.7,100 g,70,50,28% OFF,31% OFF
Grofers Mother's Choice Everyday/Rozana Basmati Rice + Sharbati Atta + Unpolished Arhar Dal/Toor Dal Combo,0,5kg + 5kg + 1kg,905,649,28% OFF,
Grofers Mother's Choice Chicken Masala,3.6,50 g,37,21,43% OFF,45% OFF
Grofers Mother's Choice Dubar Basmati Rice,3.7,5 kg,605,338,44% OFF,44% OFF
Grofers Mother's Choice Dubar Basmati Rice,3.4,1 kg,125,73,41% OFF,44% OFF
Grofers Mother's Choice California Whole Walnuts,3.9,500 g,475,373,21% OFF,22% OFF
Grofers Mother's Choice California Whole Walnuts,3.6,200 g,139,139,,
Grofers Happy Day Roasted & Salted Flavoured Cashew (Pouch),3.8,200 g,400,228,43% OFF,
Grofers Mother's Choice Unpolished Split White Urad Dal (Dhuli),4.1,500 g,90,90,,
Family Farm Sooji/Rava,4.1,500 g,38,29,23% OFF,26% OFF
24 Mantra Organic Coriander Seeds/Dhania,0,100 g,60,54,10% OFF,13% OFF
Safe Harvest Pesticide Free Foxtail Millet,5,500 g,77,77,,
24 Mantra Organic Brown Sonamasuri Rice,0,1 kg,95,86,9% OFF,12% OFF
24 Mantra Organic Sonamasuri Rice,0,5 kg,475,475,,
Grofers Mother's Choice Steam Sonamasuri Rice,3.9,5 kg,429,346,19% OFF,20% OFF
SVS Refined Sunflower Oil,0,1 l,150,119,20% OFF,21% OFF
Grofers Mother's Choice Bansi Sooji/Rava,0,500 g,39,34,12% OFF,15% OFF
Safe Harvest Pesticide Free Moth Dal,3.4,200 g,45,45,,
Family Farm Urad Dal (Chilka),3.9,1 kg,150,150,,
Safe Harvest Pesticide Free Red Poha,4,500 g,60,55,8% OFF,11% OFF
