,product,category,brand,mrp,sp,discount,sku,description,url
171,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,38.75,31.00,20,10000275,Beans - Cowpea,/pd/10000275/fresho-beans-cowpea-500-g/
172,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,38.75,31.00,20,10000038,Beans - Broad,/pd/10000038/fresho-beans-broad-500-g/
173,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,36.25,29.00,20,40114961,Papaya - Small,/pd/40114961/fresho-papaya-small-1-pc/
174,fruits-vegetables,Exotic Fruits,Fresho,36.25,29.00,20,20000707,Grapes - Bangalore Blue with Seed,/pd/20000707/fresho-grapes-bangalore-blue-with-seed-500-g/
175,fruits-vegetables,Organic Vegetables,Fresho,21.25,17.00,20,40022639,Cucumber - Organically Grown,/pd/40022639/fresho-cucumber-organically-grown-500-g/
176,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,20.00,16.00,20,10000040,Beans - Cluster,/pd/10000040/fresho-beans-cluster-250-g/
177,fruits-vegetables,Organic Vegetables,Fresho,113.75,91.00,20,1203467,Tomato - Hybrid 1kg + Onion 1kg + Potato 1kg (Organically Grown),/pd/1203467/fresho-tomato-hybrid-1kg-onion-1kg-potato-1kg-organically-grown-combo/
178,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,25.00,20.00,20,20000745,Bottle Gourd,/pd/20000745/fresho-bottle-gourd-1-pc/
179,fruits-vegetables,Exotic Vegetables,Fresho,32.50,26.00,20,10000024,Baby Potato,/pd/10000024/fresho-baby-potato-500-g/
180,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,151.25,121.00,20,40150775,Kiwi,/pd/40150775/fresho-kiwi-400-g/
181,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,21.25,17.00,20,10000087,Chow Chow,/pd/10000087/fresho-chow-chow-500-g/
182,fruits-vegetables,Mangoes,Fresho,37.50,30.00,20,10000590,Totapuri Mango,/pd/10000590/fresho-totapuri-mango-1-kg/
183,fruits-vegetables,Cucumber & Capsicum,Fresho,62.50,50.00,20,10000208,Capsicum - Yellow,/pd/10000208/fresho-capsicum-yellow-500-g/
184,fruits-vegetables,Organic Vegetables,Fresho,30.00,24.00,20,50000468,Bottle Gourd - Organically Grown,/pd/50000468/fresho-bottle-gourd-organically-grown-1-pc/
185,fruits-vegetables,Organic Vegetables,Fresho,38.75,31.00,20,40023471,Pumpkin - Organically Grown,/pd/40023471/fresho-pumpkin-organically-grown-1-pc/
186,fruits-vegetables,Apples & Pomegranate,Fresho,173.75,139.00,20,40075384,"Apple - Red Delicious/Washington, Economy",/pd/40075384/fresho-apple-red-deliciouswashington-economy-4-pcs/
187,fruits-vegetables,Apples & Pomegranate,Fresho,46.25,37.00,20,10000156,Pineapple,/pd/10000156/fresho-pineapple-1-pc/
188,fruits-vegetables,Organic Vegetables,Fresho,35.00,28.00,20,50000557,"Tomato - Hybrid, Organically Grown",/pd/50000557/fresho-tomato-hybrid-organically-grown-1-kg/
189,fruits-vegetables,Leafy Vegetables,Fresho,18.75,15.00,20,30000575,Amaranthus - Red,/pd/30000575/fresho-amaranthus-red-250-g/
